布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1642588.601,500,791,1125,4096,1083,0,4096,542,0,4096,1833,0,4096,3250,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,11223040,12091392,12402688,14204928,100415208,44700417,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1550878.792,500,833,1000,4096,1167,0,4096,750,0,4096,833,0,4096,1000,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,16400384,16449536,16515072,16515072,74766875,43758458,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1459723.820,500,1333,1667,4096,1875,0,4096,750,0,4096,792,0,4096,1750,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,19906560,20463616,20692992,21659648,73771084,52842875,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,425.200,879083,21024500,21634083,4096,21547958,3632,4096,3833,15,4096,22361125,4096,4096,21560250,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,23920640,23937024,23937024,24051712,190449125,155882750,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,589.376,865458,10703042,21257000,4096,21377166,3632,4096,10417,15,4096,21577167,4096,4096,21211958,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,27492352,27508736,27508736,27508736,232312792,650269750,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,440.152,871541,20952000,21391000,4096,21531833,3632,4096,1208,15,4096,21072958,4096,4096,21604125,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,29605888,29589504,29589504,29589504,355248500,191741875,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,1751526.733,459,709,1292,4096,4667,0,4096,459,0,4096,625,0,4096,917,0,3,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,30179328,30195712,30212096,30212096,79500708,38956500,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,418752.806,1583,31833,109000,4096,290125,0,4096,86667,0,4096,72708,0,4096,45583,0,2086,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,31604736,31539200,31571968,31571968,98859459,42315375,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,791101.079,833,4083,28542,4096,44750,0,4096,17375,0,4096,26667,0,4096,22250,0,45,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,31653888,31588352,31588352,31588352,103440125,45990542,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,1232.885,1750,20955541,21900750,4096,18858041,3670,4096,5625,1,4096,22033250,1731,4096,22440291,2069,5771,13312,3072,0,65536,147812,539260,32768,90112,0,98520,122640980,509020,123182840,1134896,1134852,541860,12.594283,31916032,31866880,31866880,31866880,144876667,86150625,u64-uniform-t4
原子u64,均匀,4,超内存,2,8241995736820088833,2048,16384,2647.808,625,6928875,21698125,4096,24238209,3667,4096,1333,0,4096,2625,5,4096,1625,3,3,13312,3072,0,65536,147812,424764,65536,90112,0,98520,60212140,361240,60639060,904680,904636,426920,10.039506,32063488,32014336,32014336,32014336,115179583,67848791,u64-uniform-t4
原子u64,均匀,4,超内存,3,8241995736820088833,2048,16384,1487.863,541,20965041,21644750,4096,22369417,3646,4096,1125,1,4096,792,1,4096,1084,3,3,13312,3072,0,65536,147812,356668,65536,90112,0,98520,59867320,295560,60228560,773128,773084,361240,8.579634,32079872,32047104,32047104,32047104,192865083,136971584,u64-uniform-t4
原子u64,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,2135859.376,416,459,542,4096,500,0,4096,417,0,4096,542,0,4096,542,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,32063488,32047104,32047104,32047104,73129917,26005708,u64-hot-t1
原子u64,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,2064353.551,417,542,625,4096,584,0,4096,500,0,4096,667,0,4096,667,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,32063488,32047104,32047104,32047104,94428208,29011500,u64-hot-t1
原子u64,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,1808355.188,417,625,2000,4096,542,0,4096,417,0,4096,2125,0,4096,2167,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,32194560,32178176,32178176,32178176,66686542,27313750,u64-hot-t1
原子u64,每线程热点,1,超内存,1,8241995736820088833,2048,16384,3887.162,417,1059666,1687250,4096,3106542,4096,4096,417,0,4096,500,0,4096,459,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32325632,32309248,32309248,32309248,56730292,31926625,u64-hot-t1
原子u64,每线程热点,1,超内存,2,8241995736820088833,2048,16384,2330.316,417,965792,10633208,4096,20999333,4096,4096,458,0,4096,542,0,4096,542,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32325632,32309248,32309248,32309248,58291125,25620791,u64-hot-t1
原子u64,每线程热点,1,超内存,3,8241995736820088833,2048,16384,1382.962,458,1617458,21005000,4096,21447583,4096,4096,1250,0,4096,1791,0,4096,2375,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32325632,32309248,32309248,32309248,98907917,26847083,u64-hot-t1
原子u64,每线程热点,4,纯内存,1,8241995736820088833,2048,16384,599842.578,1209,30750,54792,4096,71250,0,4096,47708,0,4096,48125,0,4096,55291,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,32505856,32440320,32440320,32440320,52883041,31782250,u64-hot-t4
原子u64,每线程热点,4,纯内存,2,8241995736820088833,2048,16384,924952.972,1000,22041,43000,4096,52667,0,4096,45916,0,4096,41625,0,4096,21708,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,32505856,32440320,32440320,32440320,54948334,29886417,u64-hot-t4
原子u64,每线程热点,4,纯内存,3,8241995736820088833,2048,16384,1297168.943,1041,13042,29916,4096,29333,0,4096,29750,0,4096,32000,0,4096,27500,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,32505856,32440320,32440320,32440320,52917625,26010875,u64-hot-t4
原子u64,每线程热点,4,超内存,1,8241995736820088833,2048,16384,6149.480,958,3062750,10324833,4096,19840666,4096,4096,1792,0,4096,2125,0,4096,2125,0,0,12292,4092,0,65536,147812,148356,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,32505856,32440320,32440320,32440320,81768167,29474667,u64-hot-t4
原子u64,每线程热点,4,超内存,2,8241995736820088833,2048,16384,8966.060,458,1891791,4953417,4096,11235584,4096,4096,584,0,4096,1250,0,4096,2125,0,0,12292,4092,0,65536,147812,148356,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,32505856,32456704,32456704,32456704,109055584,30892167,u64-hot-t4
原子u64,每线程热点,4,超内存,3,8241995736820088833,2048,16384,4960.922,458,3687875,12542416,4096,19392334,4096,4096,1083,0,4096,1333,0,4096,666,0,0,12292,4092,0,65536,147812,148356,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,33570816,33505280,33505280,33505280,85857458,35337958,u64-hot-t4
变长字节,均匀,1,纯内存,1,8241995736820088833,2048,16384,737287.373,917,2333,4416,4096,2667,0,4096,3625,0,4096,5667,0,4096,2916,0,0,13312,3072,0,67108864,715108,2398332,2408448,1683456,0,0,0,0,2413740,4884056,4884012,2413740,2.901208,41631744,44515328,44564480,43909120,601487958,430840084,bytes-uniform-t1
变长字节,均匀,1,纯内存,2,8241995736820088833,2048,16384,631449.118,1000,3083,4959,4096,2541,0,4096,4375,0,4096,8209,0,4096,2375,0,0,13312,3072,0,67108864,715108,2398332,2408448,1683456,0,0,0,0,2413740,4884056,4884012,2413740,2.901208,46612480,47316992,47382528,44449792,587220166,379246166,bytes-uniform-t1
变长字节,均匀,1,纯内存,3,8241995736820088833,2048,16384,923222.113,750,1667,2708,4096,1375,0,4096,2042,0,4096,4000,0,4096,1250,0,0,13312,3072,0,67108864,715108,2398332,2408448,1683456,0,0,0,0,2413740,4884056,4884012,2413740,2.901208,48300032,50135040,50167808,50167808,424972125,408817917,bytes-uniform-t1
变长字节,均匀,1,超内存,1,8241995736820088833,2048,16384,1616.032,676333,1345959,1987458,4096,1960875,3944,4096,688541,85,4096,2430875,4096,4096,2165875,3184,0,13312,3072,0,65536,715108,3640316,32768,1683456,0,656800,184314500,3628820,187976160,7383544,7383500,3661660,4.385944,49725440,49709056,49725440,49725440,656019500,702200042,bytes-uniform-t1
变长字节,均匀,1,超内存,2,8241995736820088833,2048,16384,1576.377,668500,1225708,1921458,4096,2017167,3944,4096,472417,85,4096,2244000,4096,4096,2237167,3184,0,13312,3072,0,65536,715108,3640316,32768,1683456,0,656800,184314500,3628820,187976160,7383544,7383500,3661660,4.385944,55427072,55410688,55410688,54460416,883583333,639932333,bytes-uniform-t1
变长字节,均匀,1,超内存,3,8241995736820088833,2048,16384,1421.818,688750,1513250,2772041,4096,2688666,3944,4096,487875,85,4096,6760750,4096,4096,2974666,3184,0,13312,3072,0,65536,715108,3640316,32768,1683456,0,656800,184314500,3628820,187976160,7383544,7383500,3661660,4.385944,61472768,61456384,61456384,61456384,823767250,614418500,bytes-uniform-t1
变长字节,均匀,4,纯内存,1,8241995736820088833,2048,16384,304242.197,2875,48208,107792,4096,59041,0,4096,105791,0,4096,153459,0,4096,97792,0,1429,13312,3072,0,67108864,713036,2379004,2392064,1683456,0,0,0,0,2397320,4851240,4851196,2397320,2.881715,61882368,62537728,62537728,62537728,602207917,360578292,bytes-uniform-t4
变长字节,均匀,4,纯内存,2,8241995736820088833,2048,16384,300149.765,4459,47125,87375,4096,67500,0,4096,73791,0,4096,109209,0,4096,106042,0,1133,13312,3072,0,67108864,712612,2376828,2392064,1683456,0,0,0,0,2397320,4851240,4851196,2397320,2.881715,65585152,65536000,65536000,65257472,588565791,389029084,bytes-uniform-t4
变长字节,均匀,4,纯内存,3,8241995736820088833,2048,16384,576960.648,1666,28875,61791,4096,27542,0,4096,49833,0,4096,84041,0,4096,59792,0,718,13312,3072,0,67108864,712612,2376124,2392064,1683456,0,0,0,0,2397320,4851240,4851196,2397320,2.881715,67600384,67534848,67534848,67534848,586666125,375078209,bytes-uniform-t4
变长字节,均匀,4,超内存,1,8241995736820088833,2048,16384,1151.358,1733875,17969542,21360125,4096,20920500,3986,4096,726458,66,4096,21467583,4096,4096,21807625,3115,863,13312,3072,0,65536,709492,3625404,32768,1683456,0,656800,183986100,3612400,187631340,7350728,7350684,3645240,4.366451,67305472,67256320,67256320,66224128,955949833,646418542,bytes-uniform-t4
变长字节,均匀,4,超内存,2,8241995736820088833,2048,16384,1681.197,1438541,10776667,21195834,4096,21114458,3980,4096,1100250,72,4096,21799125,4096,4096,21246167,3124,255,13312,3072,0,65536,709172,3625212,32768,1683456,0,656800,184150300,3612400,187795540,7350728,7350684,3645240,4.366451,71598080,71532544,71532544,69812224,1434681750,631136750,bytes-uniform-t4
变长字节,均匀,4,超内存,3,8241995736820088833,2048,16384,1874.501,1291416,8529250,21163667,4096,20898708,3993,4096,1017292,69,4096,21308958,4096,4096,21609250,3211,101,13312,3072,0,65536,707924,3623356,32768,1683456,0,656800,185677360,3612400,189322600,7350728,7350684,3645240,4.366451,72073216,72007680,72007680,72007680,754616625,665992792,bytes-uniform-t4
变长字节,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,796370.719,667,2584,4875,4096,666,0,4096,1917,0,4096,14375,0,4096,958,0,0,12289,4095,0,67108864,715108,11231884,11239424,1675272,0,0,0,0,11264120,22610688,22610644,11264120,13.496727,89047040,89047040,89047040,80658432,2385163583,1493698166,bytes-hot-t1
变长字节,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,668395.940,667,2875,8292,4096,1458,0,4096,2500,0,4096,20750,0,4096,1083,0,0,12289,4095,0,67108864,715108,11231884,11239424,1675272,0,0,0,0,11264120,22610688,22610644,11264120,13.496727,89030656,94322688,94322688,94322688,2127486375,1462512208,bytes-hot-t1
变长字节,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,459241.620,833,5708,12209,4096,1542,0,4096,3167,0,4096,17250,0,4096,2209,0,0,12289,4095,0,67108864,715108,11231884,11239424,1675272,0,0,0,0,11264120,22610688,22610644,11264120,13.496727,98549760,98533376,98533376,90144768,2760217917,1504274708,bytes-hot-t1
