布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1333229.066,681,802,982,4096,1163,0,4096,711,0,4096,852,0,4096,792,0,0,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353824,353780,164200,3.926491,9666560,10321920,10321920,10407936,28057547,21353468,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1377032.255,681,792,951,4096,1072,0,4096,801,0,4096,831,0,4096,792,0,0,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353824,353780,164200,3.926491,10256384,10268672,10268672,10436608,26211717,20678166,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1383781.213,681,781,881,4096,1122,0,4096,661,0,4096,1222,0,4096,802,0,0,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353824,353780,164200,3.926491,10268672,10268672,10268672,10452992,27456382,20440372,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,2888.831,1222,740133,749701,4096,753999,3632,4096,1743,15,4096,765381,4096,4096,1382,14,0,16384,0,0,65536,147812,995388,65536,90112,0,98520,126893760,935940,127895380,2055688,2055644,1001620,22.812589,14548992,10268672,10268672,11337728,126155571,126729994,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,2881.570,1232,740835,748329,4096,750413,3632,4096,1844,15,4096,762715,4096,4096,1663,14,0,16384,0,0,65536,147812,995388,65536,90112,0,98520,126893760,935940,127895380,2055688,2055644,1001620,22.812589,14508032,14508032,14508032,11358208,121118205,126843436,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,2851.457,1232,746164,767665,4096,1056394,3632,4096,1753,15,4096,771042,4096,4096,1533,14,0,16384,0,0,65536,147812,995388,65536,90112,0,98520,126893760,935940,127895380,2055688,2055644,1001620,22.812589,14643200,14643200,14643200,11374592,127439599,131869960,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,1337889.758,2064,4939,14277,4096,13476,0,4096,13696,0,4096,14657,0,4096,15198,0,610,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353896,353852,164200,3.927290,17305600,17649664,17649664,17649664,26751672,20583723,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,1284441.962,2344,5550,14757,4096,14547,0,4096,14046,0,4096,15419,0,4096,16862,0,557,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353896,353852,164200,3.927290,13766656,13815808,13815808,14106624,29602101,20668152,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,1393398.113,1553,3146,8817,4096,29255,0,4096,15399,0,4096,4819,0,4096,3958,0,450,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353896,353852,164200,3.927290,13824000,13848576,13848576,14143488,25373817,21202651,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,15382.887,891,1093845,1119131,4096,1144930,3666,4096,2224,1,4096,2044,2,4096,1583,0,26,16384,0,0,65536,147812,331852,65536,90112,0,98520,60195720,279140,60540540,740240,740196,344820,8.214666,13848576,13930496,13930496,14401536,41674836,43925062,u64-uniform-t4
原子u64,均匀,4,超内存,2,8241995736820088833,2048,16384,15385.636,982,1087883,1120013,4096,1150029,3655,4096,2014,2,4096,2084,3,4096,1633,0,3,16384,0,0,65536,147812,376068,65536,90112,0,98520,60015100,311980,60392760,806016,805972,377660,8.944602,18145280,13930496,13930496,14454784,48557603,48782584,u64-uniform-t4
原子u64,均匀,4,超内存,3,8241995736820088833,2048,16384,15323.896,932,1095177,1126977,4096,1417709,3666,4096,2254,2,4096,2124,2,4096,1763,0,31,16384,0,0,65536,147812,364620,65536,90112,0,98520,60195720,311980,60573380,806016,805972,377660,8.944602,18145280,13930496,13930496,14438400,46610395,48085072,u64-uniform-t4
原子u64,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,1585392.098,591,671,701,4096,671,0,4096,541,0,4096,701,0,4096,871,0,0,12289,4095,0,67108864,147812,147812,163840,81928,0,0,0,0,164200,378376,378332,164200,4.618397,17989632,18001920,18001920,18001920,25993081,21127086,u64-hot-t1
原子u64,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,1578441.936,590,672,702,4096,972,0,4096,571,0,4096,731,0,4096,551,0,0,12289,4095,0,67108864,147812,147812,163840,81928,0,0,0,0,164200,378376,378332,164200,4.618397,18386944,18386944,18386944,18386944,26551514,21218657,u64-hot-t1
原子u64,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,1591635.829,581,662,691,4096,672,0,4096,551,0,4096,702,0,4096,541,0,0,12289,4095,0,67108864,147812,147812,163840,81928,0,0,0,0,164200,378376,378332,164200,4.618397,18386944,18386944,18386944,18386944,29209682,21074868,u64-hot-t1
原子u64,每线程热点,1,超内存,1,8241995736820088833,2048,16384,5465.977,631,740093,746495,4096,791309,4096,4096,541,0,4096,702,0,4096,661,0,0,16384,0,0,65536,147812,147884,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,18386944,18386944,18386944,18386944,21538335,21374819,u64-hot-t1
原子u64,每线程热点,1,超内存,2,8241995736820088833,2048,16384,5481.792,631,732629,744281,4096,754169,4096,4096,551,0,4096,711,0,4096,662,0,0,16384,0,0,65536,147812,147884,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,18423808,18423808,18423808,18423808,23562928,21224758,u64-hot-t1
原子u64,每线程热点,1,超内存,3,8241995736820088833,2048,16384,5456.139,631,739071,745984,4096,758277,4096,4096,751,0,4096,711,0,4096,661,0,0,16384,0,0,65536,147812,147884,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,18423808,18423808,18423808,18423808,23026525,21781429,u64-hot-t1
原子u64,每线程热点,4,纯内存,1,8241995736820088833,2048,16384,1474498.838,1483,3116,4479,4096,7033,0,4096,4409,0,4096,4598,0,4096,2966,0,0,12292,4092,0,67108864,147812,147812,163840,81952,0,0,0,0,164200,378376,378332,164200,4.617044,18001920,18001920,18001920,18001920,25091986,21352376,u64-hot-t4
原子u64,每线程热点,4,纯内存,2,8241995736820088833,2048,16384,1406771.065,2003,4489,13054,4096,6613,0,4096,13565,0,4096,13585,0,4096,12965,0,0,12292,4092,0,67108864,147812,147812,163840,81952,0,0,0,0,164200,378376,378332,164200,4.617044,13950976,13950976,13950976,14270464,27280175,21132896,u64-hot-t4
原子u64,每线程热点,4,纯内存,3,8241995736820088833,2048,16384,1317038.625,2314,5400,14186,4096,14648,0,4096,13726,0,4096,14327,0,4096,14357,0,0,12292,4092,0,67108864,147812,147812,163840,81952,0,0,0,0,164200,378376,378332,164200,4.617044,13950976,13950976,13950976,14274560,30289830,21203549,u64-hot-t4
原子u64,每线程热点,4,超内存,1,8241995736820088833,2048,16384,14773.143,1122,1098362,1119452,4096,1150230,4096,4096,1292,0,4096,1614,0,4096,1533,0,0,16384,0,0,65536,147812,148100,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,18165760,13950976,13950976,14274560,23928471,21324905,u64-hot-t4
原子u64,每线程热点,4,超内存,2,8241995736820088833,2048,16384,14568.271,1022,1098904,1126235,4096,1495555,4096,4096,1272,0,4096,1582,0,4096,1513,0,0,16384,0,0,65536,147812,148100,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,18165760,13950976,13950976,14278656,22870874,21464636,u64-hot-t4
原子u64,每线程热点,4,超内存,3,8241995736820088833,2048,16384,14760.007,1092,1098754,1119041,4096,1150259,4096,4096,2014,0,4096,1954,0,4096,2525,0,0,16384,0,0,65536,147812,148100,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,13950976,13950976,13950976,14282752,27805947,21267558,u64-hot-t4
变长字节,均匀,1,纯内存,1,8241995736820088833,2048,16384,780115.548,882,1993,2876,4096,1342,0,4096,2825,0,4096,13786,0,4096,962,0,0,15232,1152,0,67108864,715108,2332774,2342912,1683456,0,0,0,0,2348060,4743288,4743244,2348060,2.817590,28323840,30859264,30863360,30867456,285844338,210373727,bytes-uniform-t1
变长字节,均匀,1,纯内存,2,8241995736820088833,2048,16384,816036.309,871,1964,2996,4096,1342,0,4096,2705,0,4096,3887,0,4096,962,0,0,15232,1152,0,67108864,715108,2332774,2342912,1683456,0,0,0,0,2348060,4743288,4743244,2348060,2.817590,30867456,30867456,30867456,30867456,285904240,214876031,bytes-uniform-t1
变长字节,均匀,1,纯内存,3,8241995736820088833,2048,16384,826533.418,861,1954,2865,4096,1552,0,4096,2625,0,4096,3526,0,4096,982,0,0,15232,1152,0,67108864,715108,2332774,2342912,1683456,0,0,0,0,2348060,4743288,4743244,2348060,2.817590,30867456,30867456,30867456,30867456,291657591,217113171,bytes-uniform-t1
变长字节,均匀,1,超内存,1,8241995736820088833,2048,16384,3964.784,2554,516896,533528,4096,526935,3944,4096,352168,85,4096,798833,4096,4096,1573,14,0,16384,0,0,65536,715108,3836924,65536,1683456,0,656800,132033220,3793020,135891920,7778200,7778156,3858700,4.620376,32833536,32833536,32833536,32833536,380801034,355411412,bytes-uniform-t1
变长字节,均匀,1,超内存,2,8241995736820088833,2048,16384,3967.258,2625,517728,535591,4096,531965,3944,4096,349183,85,4096,791500,4096,4096,1603,14,0,16384,0,0,65536,715108,3836924,65536,1683456,0,656800,132033220,3793020,135891920,7778200,7778156,3858700,4.620376,30867456,30867456,30867456,30867456,370856567,355747850,bytes-uniform-t1
变长字节,均匀,1,超内存,3,8241995736820088833,2048,16384,3988.976,1994,514582,529039,4096,528007,3944,4096,338312,85,4096,781460,4096,4096,1353,14,0,16384,0,0,65536,715108,3836924,65536,1683456,0,656800,132033220,3793020,135891920,7778200,7778156,3858700,4.620376,39845888,39845888,39845888,39849984,392083567,366891926,bytes-uniform-t1
变长字节,均匀,4,纯内存,1,8241995736820088833,2048,16384,857181.408,2595,7734,32381,4096,14177,0,4096,13866,0,4096,67947,0,4096,11632,0,847,15232,1152,0,67108864,713788,2312742,2326528,1683456,0,0,0,0,2331640,4710472,4710428,2331640,2.798096,39849984,40378368,40378368,40378368,271403085,218592032,bytes-uniform-t4
变长字节,均匀,4,纯内存,2,8241995736820088833,2048,16384,874820.520,2505,7504,28324,4096,8506,0,4096,14147,0,4096,44102,0,4096,18815,0,951,15232,1152,0,67108864,712156,2309846,2310144,1683456,0,0,0,0,2315220,4677584,4677540,2315220,2.778560,40378368,40484864,40484864,40484864,271881898,201361921,bytes-uniform-t4
变长字节,均匀,4,纯内存,3,8241995736820088833,2048,16384,882613.864,2405,7394,30517,4096,10069,0,4096,16380,0,4096,50164,0,4096,8115,0,932,15232,1152,0,67108864,714116,2313558,2326528,1683456,0,0,0,0,2331640,4710472,4710428,2331640,2.798096,40484864,40599552,40599552,40599552,275577681,208902764,bytes-uniform-t4
