布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1501844.765,541,1166,1833,4096,2125,0,4096,1625,0,4096,792,0,4096,791,0,0,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353824,353780,164200,3.926491,12255232,12861440,13287424,14467072,122085500,36471458,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1367698.312,541,1541,1958,4096,2416,0,4096,1458,0,4096,1000,0,4096,1291,0,0,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353824,353780,164200,3.926491,20578304,20561920,20578304,21577728,90918333,37376375,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1898521.126,459,625,792,4096,958,0,4096,542,0,4096,625,0,4096,625,0,0,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353824,353780,164200,3.926491,23953408,23937024,23937024,23953408,80580709,34916542,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,648.011,1958,7879708,21541333,4096,21813667,3632,4096,9625,15,4096,21535875,4096,4096,6667,14,0,16384,0,0,65536,147812,995388,65536,90112,0,98520,126893760,935940,127895380,2055688,2055644,1001620,22.812589,24035328,24117248,24150016,24166400,802352000,1054793083,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,717.654,1584,4498750,21531250,4096,21746292,3632,4096,1125,15,4096,21537709,4096,4096,2417,14,0,16384,0,0,65536,147812,995388,65536,90112,0,98520,126893760,935940,127895380,2055688,2055644,1001620,22.812589,25952256,26230784,26230784,26230784,253251458,402596042,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,701.559,1875,5928584,21551708,4096,21571417,3632,4096,2000,15,4096,21649334,4096,4096,4375,14,0,16384,0,0,65536,147812,995388,65536,90112,0,98520,126893760,935940,127895380,2055688,2055644,1001620,22.812589,26247168,26230784,26230784,26230784,477514916,708104708,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,665002.537,1208,29333,62083,4096,72292,0,4096,61542,0,4096,53083,0,4096,54042,0,700,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353896,353852,164200,3.927290,27705344,27672576,27754496,27754496,127073084,37320792,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,1242718.447,500,1500,2084,4096,14500,0,4096,1208,0,4096,1958,0,4096,1375,0,3,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353896,353852,164200,3.927290,29147136,29081600,29081600,29081600,91901833,37493208,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,787887.992,500,1417,2666,4096,20500,0,4096,1250,0,4096,1625,0,4096,1416,0,5,13312,3072,0,67108864,147812,147812,163840,90112,0,0,0,0,164200,353896,353852,164200,3.927290,29868032,29802496,29802496,29802496,538406292,34072166,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,7322.620,1209,2660042,6137042,4096,11300083,3674,4096,5000,1,4096,2750,1,4096,4000,0,3,16384,0,0,65536,147812,315468,65536,90112,0,98520,60327080,262720,60655480,707352,707308,328400,7.849698,29868032,29835264,29835264,29835264,124547792,70501750,u64-uniform-t4
原子u64,均匀,4,超内存,2,8241995736820088833,2048,16384,3753.248,584,4756375,21456583,4096,22405834,3649,4096,2333,2,4096,2458,0,4096,1833,0,3,16384,0,0,65536,147812,315468,65536,90112,0,98520,59916580,262720,60244980,707352,707308,328400,7.849698,29900800,29868032,29868032,29868032,119578041,65623125,u64-uniform-t4
原子u64,均匀,4,超内存,3,8241995736820088833,2048,16384,2537.897,666,20918000,22078584,4096,22897375,3661,4096,2792,1,4096,3042,0,4096,3750,0,4,16384,0,0,65536,147812,310532,65536,90112,0,98520,60113620,246300,60425600,674464,674420,311980,7.484730,29933568,29868032,29868032,29868032,142184917,62963458,u64-uniform-t4
原子u64,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,2087322.016,375,542,1166,4096,1833,0,4096,458,0,4096,1208,0,4096,458,0,0,12289,4095,0,67108864,147812,147812,163840,81928,0,0,0,0,164200,378376,378332,164200,4.618397,29884416,29868032,29868032,29868032,76203208,30230416,u64-hot-t1
原子u64,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,1873608.074,416,916,1167,4096,1166,0,4096,917,0,4096,1208,0,4096,917,0,0,12289,4095,0,67108864,147812,147812,163840,81928,0,0,0,0,164200,378376,378332,164200,4.618397,29884416,29868032,29868032,29868032,100082417,32489416,u64-hot-t1
原子u64,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,2355602.528,375,458,459,4096,459,0,4096,375,0,4096,459,0,4096,375,0,0,12289,4095,0,67108864,147812,147812,163840,81928,0,0,0,0,164200,378376,378332,164200,4.618397,29884416,29868032,29868032,29868032,87179166,40221167,u64-hot-t1
原子u64,每线程热点,1,超内存,1,8241995736820088833,2048,16384,1101.433,542,1927250,21308542,4096,21608917,4096,4096,1292,0,4096,1250,0,4096,1708,0,0,16384,0,0,65536,147812,147884,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,31014912,30998528,30998528,30998528,210371250,55198083,u64-hot-t1
原子u64,每线程热点,1,超内存,2,8241995736820088833,2048,16384,1193.290,458,1896458,21314667,4096,21784500,4096,4096,458,0,4096,2542,0,4096,2292,0,0,16384,0,0,65536,147812,147884,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,31014912,30998528,30998528,30998528,112855041,32693542,u64-hot-t1
原子u64,每线程热点,1,超内存,3,8241995736820088833,2048,16384,1289.626,417,2058125,21071584,4096,21610875,4096,4096,958,0,4096,2708,0,4096,1333,0,0,16384,0,0,65536,147812,147884,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,31473664,31457280,31457280,31457280,97802375,40237167,u64-hot-t1
原子u64,每线程热点,4,纯内存,1,8241995736820088833,2048,16384,1173540.865,959,14584,29875,4096,55583,0,4096,24959,0,4096,22917,0,4096,19375,0,0,12292,4092,0,67108864,147812,147812,163840,81952,0,0,0,0,164200,378376,378332,164200,4.617044,31522816,31457280,31457280,31457280,116886334,39527916,u64-hot-t4
原子u64,每线程热点,4,纯内存,2,8241995736820088833,2048,16384,1154324.376,958,15584,34542,4096,26834,0,4096,22959,0,4096,55583,0,4096,25666,0,0,12292,4092,0,67108864,147812,147812,163840,81952,0,0,0,0,164200,378376,378332,164200,4.617044,31522816,31457280,31457280,31457280,153569334,36101625,u64-hot-t4
原子u64,每线程热点,4,纯内存,3,8241995736820088833,2048,16384,743749.715,875,28042,48125,4096,46000,0,4096,50542,0,4096,47792,0,4096,47000,0,0,12292,4092,0,67108864,147812,147812,163840,81952,0,0,0,0,164200,378376,378332,164200,4.617044,32260096,32194560,32194560,32194560,62492917,33615709,u64-hot-t4
原子u64,每线程热点,4,超内存,1,8241995736820088833,2048,16384,1790.763,1125,20949625,22372500,4096,23420667,4096,4096,1125,0,4096,1666,0,4096,1584,0,0,16384,0,0,65536,147812,148100,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,32260096,32210944,32210944,32210944,58982917,35697792,u64-hot-t4
原子u64,每线程热点,4,超内存,2,8241995736820088833,2048,16384,1180.547,1000,21795459,22703875,4096,23599458,4096,4096,23875,0,4096,17333,0,4096,16791,0,0,16384,0,0,65536,147812,148100,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,32571392,32505856,32505856,32505856,128702666,35543500,u64-hot-t4
原子u64,每线程热点,4,超内存,3,8241995736820088833,2048,16384,3778.703,584,5120291,21314458,4096,21842375,4096,4096,1417,0,4096,1541,0,4096,3250,0,0,16384,0,0,65536,147812,148100,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,33095680,33030144,33030144,33030144,106031833,37764125,u64-hot-t4
变长字节,均匀,1,纯内存,1,8241995736820088833,2048,16384,574278.573,1084,2375,9250,4096,5750,0,4096,9250,0,4096,13167,0,4096,2750,0,0,15232,1152,0,67108864,715108,2332774,2342912,1683456,0,0,0,0,2348060,4743288,4743244,2348060,2.817590,43532288,46219264,46284800,45875200,712782541,436437125,bytes-uniform-t1
变长字节,均匀,1,纯内存,2,8241995736820088833,2048,16384,648905.570,916,2708,5667,4096,2958,0,4096,6041,0,4096,11833,0,4096,1125,0,0,15232,1152,0,67108864,715108,2332774,2342912,1683456,0,0,0,0,2348060,4743288,4743244,2348060,2.817590,52822016,53723136,53755904,52985856,657469250,400521750,bytes-uniform-t1
变长字节,均匀,1,纯内存,3,8241995736820088833,2048,16384,677227.682,834,2375,7500,4096,2500,0,4096,11459,0,4096,11208,0,4096,2417,0,0,15232,1152,0,67108864,715108,2332774,2342912,1683456,0,0,0,0,2348060,4743288,4743244,2348060,2.817590,54099968,54624256,54657024,53608448,833886875,1307120917,bytes-uniform-t1
变长字节,均匀,1,超内存,1,8241995736820088833,2048,16384,956.066,12167,2154166,21068583,4096,21161459,3944,4096,703959,85,4096,21110375,4096,4096,3667,14,0,16384,0,0,65536,715108,3836924,65536,1683456,0,656800,132016800,3793020,135875500,7778200,7778156,3858700,4.620376,58589184,58572800,58589184,57638912,2120313708,705588416,bytes-uniform-t1
变长字节,均匀,1,超内存,2,8241995736820088833,2048,16384,1416.341,20625,1497541,15716125,4096,21171166,3944,4096,598541,85,4096,5198209,4096,4096,7083,14,0,16384,0,0,65536,715108,3836924,65536,1683456,0,656800,132016800,3793020,135875500,7778200,7778156,3858700,4.620376,57999360,56967168,56967168,55083008,1129527959,760671584,bytes-uniform-t1
变长字节,均匀,1,超内存,3,8241995736820088833,2048,16384,2106.619,12625,1278292,2509959,4096,3997583,3944,4096,481542,85,4096,2929959,4096,4096,9625,14,0,16384,0,0,65536,715108,3836924,65536,1683456,0,656800,132016800,3793020,135875500,7778200,7778156,3858700,4.620376,62177280,61734912,61734912,61734912,1012836583,761126583,bytes-uniform-t1
变长字节,均匀,4,纯内存,1,8241995736820088833,2048,16384,639164.617,1708,25667,55958,4096,38958,0,4096,45666,0,4096,84042,0,4096,48500,0,1235,15232,1152,0,67108864,711668,2310726,2326528,1683456,0,0,0,0,2331640,4710472,4710428,2331640,2.798096,62193664,62144512,62144512,61816832,522230167,474262125,bytes-uniform-t4
