布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2660745,333,375,417,0
原子u64,256键均匀,1,2,200000,2407354,333,416,459,0
原子u64,256键均匀,1,3,200000,2664804,333,375,458,0
原子u64,256键均匀,4,1,200000,861832,1292,18833,34666,30896
原子u64,256键均匀,4,2,200000,863866,1291,18583,34250,29657
原子u64,256键均匀,4,3,200000,865465,1333,18375,34625,34574
原子u64,单键热点,1,1,200000,2798398,292,375,417,0
原子u64,单键热点,1,2,200000,2702166,333,375,417,0
原子u64,单键热点,1,3,200000,2759869,292,334,416,0
原子u64,单键热点,4,1,200000,1004995,500,18750,43750,206763
原子u64,单键热点,4,2,200000,1021401,500,16709,43166,222275
原子u64,单键热点,4,3,200000,1091970,625,15209,39583,233653
变长32至512字节,256键均匀,1,1,200000,1960275,417,500,583,0
变长32至512字节,256键均匀,1,2,200000,1980204,417,500,583,0
变长32至512字节,256键均匀,1,3,200000,1835707,458,500,583,0
变长32至512字节,256键均匀,4,1,200000,656464,1541,22167,47333,41604
变长32至512字节,256键均匀,4,2,200000,721300,1250,19125,39333,31100
变长32至512字节,256键均匀,4,3,200000,881503,1541,16459,32625,29850
变长32至512字节,单键热点,1,1,200000,1898564,417,500,542,0
变长32至512字节,单键热点,1,2,200000,1961786,417,500,542,0
变长32至512字节,单键热点,1,3,200000,1905721,458,541,584,0
变长32至512字节,单键热点,4,1,200000,775563,1959,19750,45167,398971
变长32至512字节,单键热点,4,2,200000,753362,1584,22208,49125,320273
变长32至512字节,单键热点,4,3,200000,780931,1916,20250,47375,374522
