布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2743669,333,375,417,0
原子u64,256键均匀,1,2,200000,2822200,292,334,417,0
原子u64,256键均匀,1,3,200000,2838126,292,334,417,0
原子u64,256键均匀,4,1,200000,917862,1167,14750,32791,31637
原子u64,256键均匀,4,2,200000,1354382,1250,9375,17125,26629
原子u64,256键均匀,4,3,200000,868109,1167,19333,37292,26928
原子u64,单键热点,1,1,200000,2679226,333,375,417,0
原子u64,单键热点,1,2,200000,2785832,292,375,417,0
原子u64,单键热点,1,3,200000,2788404,292,375,417,0
原子u64,单键热点,4,1,200000,1126029,708,13792,40791,251795
原子u64,单键热点,4,2,200000,1107920,583,15000,44000,215264
原子u64,单键热点,4,3,200000,1110388,375,11833,35083,135499
变长32至512字节,256键均匀,1,1,200000,1833519,417,500,625,0
变长32至512字节,256键均匀,1,2,200000,2025357,417,500,542,0
变长32至512字节,256键均匀,1,3,200000,1974865,417,500,583,0
变长32至512字节,256键均匀,4,1,200000,1117097,1375,11333,23458,30056
变长32至512字节,256键均匀,4,2,200000,891619,1458,16584,31250,35232
变长32至512字节,256键均匀,4,3,200000,1192534,1334,10667,21917,25648
变长32至512字节,单键热点,1,1,200000,2100830,417,500,542,0
变长32至512字节,单键热点,1,2,200000,2109414,417,459,500,0
变长32至512字节,单键热点,1,3,200000,2110030,417,459,500,0
变长32至512字节,单键热点,4,1,200000,894542,1916,15125,32250,387131
变长32至512字节,单键热点,4,2,200000,900278,2042,14500,32833,465771
变长32至512字节,单键热点,4,3,200000,816434,1416,19750,45625,313903
