布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1216881.317,721,1051,1182,4096,1212,0,4096,702,0,4096,851,0,4096,2735,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,9736192,10641408,10641408,10809344,36320930,30126578,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1252278.947,721,1042,1133,4096,1202,0,4096,652,0,4096,841,0,4096,1182,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,10571776,10588160,10588160,10846208,34482653,29679298,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1222495.438,731,1051,1162,4096,1232,0,4096,811,0,4096,902,0,4096,1232,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,15384576,15384576,15384576,15384576,38676259,30042108,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,2098.590,728818,773412,798068,4096,866988,3632,4096,2023,15,4096,981413,4096,4096,796696,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,16158720,11886592,11886592,12742656,91155774,102401131,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,2102.809,729670,771618,779874,4096,806294,3632,4096,2074,15,4096,780616,4096,4096,783391,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,11886592,11886592,11886592,12763136,86465661,101808243,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,2101.742,729550,764726,784793,4096,826231,3632,4096,1834,15,4096,780516,4096,4096,788731,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,16261120,16261120,16261120,12771328,90438279,102319244,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,1209984.439,2294,5230,16401,4096,15349,0,4096,13325,0,4096,14507,0,4096,36578,0,736,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,18907136,19447808,19447808,19447808,39727377,29959793,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,1214732.427,2245,5560,15349,4096,17373,0,4096,14467,0,4096,14498,0,4096,21310,0,736,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,15454208,15540224,15540224,15900672,34499626,29836361,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,1295769.925,2324,5080,14117,4096,14407,0,4096,13786,0,4096,13726,0,4096,14457,0,521,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,15540224,15540224,15540224,15900672,34208329,29820052,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,6432.660,3116,1106044,1371933,4096,1395357,3666,4096,32601,1,4096,1540799,2560,4096,1404905,1817,96825,13312,3072,0,65536,147812,623996,32768,90112,0,98520,132066060,607540,132706440,1332224,1332180,640380,14.784091,15540224,15663104,15663104,16412672,70252161,80919404,u64-uniform-t4
原子u64,均匀,4,超内存,2,8241995736820088833,2048,16384,6495.824,2996,1105445,1167162,4096,1204291,3638,4096,50475,2,4096,1219680,2414,4096,1419144,1943,76740,13312,3072,0,65536,147812,644604,32768,90112,0,98520,131261480,623960,131918280,1365112,1365068,656800,15.149059,19877888,15663104,15663104,16433152,72422499,83708588,u64-uniform-t4
原子u64,均匀,4,超内存,3,8241995736820088833,2048,16384,15761.415,1172,1096670,1128219,4096,1179013,3657,4096,2425,0,4096,2254,1,4096,2275,2,4,13312,3072,0,65536,147812,408700,65536,90112,0,98520,60047940,344820,60458440,871792,871748,410500,9.674538,19877888,15663104,15663104,16224256,46543120,55220047,u64-uniform-t4
原子u64,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,1416623.240,641,692,731,4096,721,0,4096,571,0,4096,742,0,4096,732,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,22331392,22835200,22835200,22835200,23941728,21633475,u64-hot-t1
原子u64,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,1477206.090,641,681,711,4096,711,0,4096,551,0,4096,731,0,4096,711,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,23019520,23019520,23019520,19091456,25920403,21374468,u64-hot-t1
