布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,3898977,167,292,417,0
原子u64,256键均匀,1,2,200000,5225542,125,167,250,0
原子u64,256键均匀,1,3,200000,3981298,125,375,458,0
原子u64,256键均匀,4,1,200000,2792404,250,6250,18375,16387
原子u64,256键均匀,4,2,200000,3286892,292,5500,14083,16177
原子u64,256键均匀,4,3,200000,3358927,292,5417,13375,15632
原子u64,单键热点,1,1,200000,6835153,84,125,208,0
原子u64,单键热点,1,2,200000,6962112,84,125,208,0
原子u64,单键热点,1,3,200000,6117167,125,167,209,0
原子u64,单键热点,4,1,200000,2806473,125,3167,27875,62955
原子u64,单键热点,4,2,200000,2553926,125,5500,30833,95825
原子u64,单键热点,4,3,200000,2717801,125,5958,23375,145863
变长32至512字节,256键均匀,1,1,200000,3857284,208,250,292,0
变长32至512字节,256键均匀,1,2,200000,3850850,208,250,292,0
变长32至512字节,256键均匀,1,3,200000,3915503,208,250,292,0
变长32至512字节,256键均匀,4,1,200000,2596175,417,5625,17042,14379
变长32至512字节,256键均匀,4,2,200000,2525938,417,5667,16416,13766
变长32至512字节,256键均匀,4,3,200000,3143517,417,4792,10583,11401
变长32至512字节,单键热点,1,1,200000,3938216,208,250,291,0
变长32至512字节,单键热点,1,2,200000,3971127,208,250,291,0
变长32至512字节,单键热点,1,3,200000,3923935,208,250,292,0
变长32至512字节,单键热点,4,1,200000,1639528,417,10000,20292,355998
变长32至512字节,单键热点,4,2,200000,1744870,375,9416,17708,381737
变长32至512字节,单键热点,4,3,200000,1762410,458,9292,17167,389453
