布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2710422,333,375,458,0
原子u64,256键均匀,1,2,200000,2770556,292,375,458,0
原子u64,256键均匀,1,3,200000,2775953,292,375,458,0
原子u64,256键均匀,4,1,200000,951085,1292,16875,32125,33896
原子u64,256键均匀,4,2,200000,897467,1250,18459,36916,34514
原子u64,256键均匀,4,3,200000,1034155,1291,15334,30291,30952
原子u64,单键热点,1,1,200000,2860514,292,334,417,0
原子u64,单键热点,1,2,200000,2801094,292,334,416,0
原子u64,单键热点,1,3,200000,2864839,292,334,417,0
原子u64,单键热点,4,1,200000,1100509,625,15125,37125,227398
原子u64,单键热点,4,2,200000,1072052,458,17625,47042,166186
原子u64,单键热点,4,3,200000,1095636,792,14250,34416,276451
变长32至512字节,256键均匀,1,1,200000,1975890,417,500,583,0
变长32至512字节,256键均匀,1,2,200000,2011087,417,500,584,0
变长32至512字节,256键均匀,1,3,200000,2039951,417,459,542,0
变长32至512字节,256键均匀,4,1,200000,671105,1708,22209,41959,41186
变长32至512字节,256键均匀,4,2,200000,822462,1542,18167,33541,37076
变长32至512字节,256键均匀,4,3,200000,1138487,1417,10667,25167,29122
变长32至512字节,单键热点,1,1,200000,2155300,375,458,500,0
变长32至512字节,单键热点,1,2,200000,2145489,416,458,500,0
变长32至512字节,单键热点,1,3,200000,2151291,416,458,500,0
变长32至512字节,单键热点,4,1,200000,905404,2250,13333,26167,580256
变长32至512字节,单键热点,4,2,200000,971875,2125,13000,21291,421263
变长32至512字节,单键热点,4,3,200000,965268,2083,13375,22958,408332
