布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1020504.008,852,1289,1501,4096,1438,0,4096,962,0,4096,1130,0,4096,2661,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,9879552,10776576,10776576,10944512,65111978,34662765,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1047565.309,851,1245,1416,4096,1341,0,4096,890,0,4096,1038,0,4096,1543,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,10706944,10723328,10723328,10981376,38423903,35032899,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1039079.577,851,1253,1391,4096,1376,0,4096,920,0,4096,1063,0,4096,2577,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,16171008,16936960,16936960,16936960,39029410,47026088,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,1871.115,816305,873007,893289,4096,916051,3632,4096,2301,15,4096,882244,4096,4096,897924,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,18907136,15368192,15368192,16216064,119058851,118351666,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,1884.574,810959,870003,889624,4096,863417,3632,4096,2169,15,4096,865321,4096,4096,898624,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,18911232,15368192,15368192,16244736,120168013,118552113,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,1872.404,816601,871920,888930,4096,855357,3632,4096,2103,15,4096,858549,4096,4096,895838,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,20185088,20185088,20185088,17453056,97174681,117307343,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,696098.230,3962,14846,24879,4096,25349,0,4096,24068,0,4096,25784,0,4096,24820,0,1245,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,23588864,24076288,24076288,24076288,39316519,35336802,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,791426.471,3723,12882,18793,4096,18089,0,4096,19700,0,4096,18994,0,4096,18400,0,1168,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,20606976,20635648,20635648,21008384,39480691,35811703,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,759040.429,3661,13604,20636,4096,20728,0,4096,21744,0,4096,20676,0,4096,19569,0,1233,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,20836352,20865024,20865024,21245952,40245384,35449282,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,14760.411,1138,1111721,1143304,4096,1240671,3668,4096,2490,1,4096,2389,1,4096,2476,2,53,13312,3072,0,65536,147812,401660,65536,90112,0,98520,60228560,344820,60639060,871792,871748,410500,9.674538,20865024,20873216,20873216,21430272,51830205,61598339,u64-uniform-t4
