布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1827798.082,459,667,750,4096,1250,0,4096,500,0,4096,583,0,4096,791,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,13402112,14057472,14712832,16072704,79748709,43752875,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1789370.632,500,708,833,4096,958,0,4096,584,0,4096,625,0,4096,833,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,22986752,23134208,23183360,23330816,55007666,48381333,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1592818.783,541,792,958,4096,1000,0,4096,709,0,4096,1042,0,4096,1000,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,25133056,25608192,25608192,25608192,50149584,35507167,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,1392.048,789417,1113125,6023500,4096,12145959,3632,4096,917,15,4096,1961292,4096,4096,1526917,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,27639808,27623424,27623424,27623424,191110583,146177750,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,1428.397,787084,972542,2688334,4096,1249625,3632,4096,917,15,4096,20963708,4096,4096,10988125,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,29179904,29425664,29425664,29425664,134579416,115873917,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,1447.553,790209,1011875,3129500,4096,4325000,3632,4096,2250,15,4096,2047334,4096,4096,21007417,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,30703616,30687232,30687232,30687232,141414417,119597208,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,1079961.157,1292,13958,26792,4096,19916,0,4096,24417,0,4096,26584,0,4096,35333,0,855,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,32997376,32931840,32931840,32931840,42996208,33079667,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,476419.295,2166,34084,65709,4096,59792,0,4096,65709,0,4096,79958,0,4096,53791,0,659,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,35291136,35225600,35225600,35225600,78000542,40290625,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,1154948.330,1208,12875,29167,4096,24709,0,4096,25709,0,4096,45125,0,4096,37583,0,575,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,37584896,37519360,37519360,37519360,45227875,43279667,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,7375.242,583,1763750,10317750,4096,21110083,3652,4096,1584,3,4096,1166,1,4096,1125,4,3,13312,3072,0,65536,147812,385276,65536,90112,0,98520,59965840,328400,60359920,838904,838860,394080,9.309570,39452672,39469056,39469056,39469056,119926750,69681875,u64-uniform-t4
