布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2267332,375,417,500,0
原子u64,256键均匀,1,2,200000,2296725,375,417,500,0
原子u64,256键均匀,1,3,200000,2281753,375,417,500,0
原子u64,256键均匀,4,1,200000,1308311,1583,8708,14167,21220
原子u64,256键均匀,4,2,200000,1327455,1542,8541,13750,22200
原子u64,256键均匀,4,3,200000,1260395,1542,9167,17125,23691
原子u64,单键热点,1,1,200000,2184028,417,459,500,0
原子u64,单键热点,1,2,200000,2164236,417,459,500,0
原子u64,单键热点,1,3,200000,2168393,417,459,500,0
原子u64,单键热点,4,1,200000,904020,2125,14959,26541,425898
原子u64,单键热点,4,2,200000,860713,2125,15792,29667,421183
原子u64,单键热点,4,3,200000,859339,2000,16458,34584,384813
变长32至512字节,256键均匀,1,1,200000,1664117,541,625,708,0
变长32至512字节,256键均匀,1,2,200000,1647338,542,625,709,0
变长32至512字节,256键均匀,1,3,200000,1651405,541,625,709,0
变长32至512字节,256键均匀,4,1,200000,691204,2375,20250,34917,35375
变长32至512字节,256键均匀,4,2,200000,1043937,1666,11000,24000,21268
变长32至512字节,256键均匀,4,3,200000,1014324,1666,12208,25458,23247
变长32至512字节,单键热点,1,1,200000,1557891,500,584,625,0
变长32至512字节,单键热点,1,2,200000,1668819,541,584,667,0
变长32至512字节,单键热点,1,3,200000,1588467,541,625,667,0
变长32至512字节,单键热点,4,1,200000,1041567,583,3750,34250,53946
变长32至512字节,单键热点,4,2,200000,666320,1000,25458,65958,291876
变长32至512字节,单键热点,4,3,200000,711864,917,22875,61792,279455
