布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2245352,375,458,500,0
原子u64,256键均匀,1,2,200000,2277764,375,458,541,0
原子u64,256键均匀,1,3,200000,2229620,375,459,542,0
原子u64,256键均匀,4,1,200000,840333,1209,18667,37583,22825
原子u64,256键均匀,4,2,200000,931320,1417,16250,31625,24577
原子u64,256键均匀,4,3,200000,1003526,1375,14541,29541,25536
原子u64,单键热点,1,1,200000,2394409,375,417,459,0
原子u64,单键热点,1,2,200000,2364442,375,417,500,0
原子u64,单键热点,1,3,200000,2344763,375,417,459,0
原子u64,单键热点,4,1,200000,951425,1083,15958,32542,301843
原子u64,单键热点,4,2,200000,930947,917,16916,38000,281949
原子u64,单键热点,4,3,200000,909433,833,18417,41958,252679
变长32至512字节,256键均匀,1,1,200000,1650045,500,625,750,0
变长32至512字节,256键均匀,1,2,200000,1710320,500,542,625,0
变长32至512字节,256键均匀,1,3,200000,1728602,500,584,708,0
变长32至512字节,256键均匀,4,1,200000,708230,1583,21125,45459,36788
变长32至512字节,256键均匀,4,2,200000,1036656,1500,12292,27083,24869
变长32至512字节,256键均匀,4,3,200000,1186419,1500,9583,19375,26015
变长32至512字节,单键热点,1,1,200000,1834370,459,541,583,0
变长32至512字节,单键热点,1,2,200000,1824614,459,542,584,0
变长32至512字节,单键热点,1,3,200000,1724093,500,583,625,0
变长32至512字节,单键热点,4,1,200000,741317,2167,18916,39875,397679
变长32至512字节,单键热点,4,2,200000,693845,2041,22209,48417,363527
变长32至512字节,单键热点,4,3,200000,748014,2292,17917,35542,421415
