布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1048318.567,859,1261,1401,4096,1465,0,4096,822,0,4096,1026,0,4096,2207,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,9871360,10768384,10768384,10940416,56131977,33452147,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1041839.946,856,1248,1437,4096,1447,0,4096,886,0,4096,1050,0,4096,1577,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,10702848,10719232,10719232,10977280,36520557,33231463,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1051236.351,857,1247,1409,4096,1408,0,4096,837,0,4096,1004,0,4096,1573,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,10719232,10723328,10723328,10993664,36626459,33617342,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,1961.165,781816,828464,843847,4096,814469,3632,4096,2237,15,4096,818280,4096,4096,871542,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,15556608,15560704,15560704,15560704,100571123,108957602,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,1974.375,778094,821771,834242,4096,805221,3632,4096,2235,15,4096,808974,4096,4096,841810,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,15560704,15560704,15560704,15560704,97794989,109721745,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,1969.005,780272,824534,837174,4096,805101,3632,4096,2134,15,4096,814101,4096,4096,843055,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,16297984,12021760,12021760,12926976,112039742,110351741,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,815237.376,3623,11956,17920,4096,17297,0,4096,18531,0,4096,16400,0,4096,22833,0,1307,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,19083264,19636224,19636224,19636224,36027093,33203572,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,763647.899,3920,13254,19217,4096,18866,0,4096,19437,0,4096,18212,0,4096,19509,0,1004,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,15609856,15609856,15609856,15986688,35668976,57304691,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,698612.944,4107,14186,21740,4096,21056,0,4096,22456,0,4096,23171,0,4096,21073,0,1260,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,15609856,15659008,15659008,16044032,36449927,37962002,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,15482.335,1237,1065915,1088389,4096,1170898,3665,4096,2689,1,4096,2482,4,4096,2294,3,15,13312,3072,0,65536,147812,448316,65536,90112,0,98520,60179300,394080,60639060,970456,970412,459760,10.769442,19873792,15806464,15806464,16412672,72866396,64909439,u64-uniform-t4
原子u64,均匀,4,超内存,2,8241995736820088833,2048,16384,15414.148,1126,1059288,1081905,4096,1114712,3632,4096,2459,2,4096,2836,1,4096,2215,2,5,13312,3072,0,65536,147812,385276,65536,90112,0,98520,59637440,328400,60031520,838904,838860,394080,9.309570,19558400,19558400,19558400,19558400,45312656,67367142,u64-uniform-t4
原子u64,均匀,4,超内存,3,8241995736820088833,2048,16384,16044.310,1181,1065900,1088929,4096,1152795,3648,4096,2668,2,4096,2065,2,4096,2333,4,10,13312,3072,0,65536,147812,434428,65536,90112,0,98520,59900160,377660,60343500,937568,937524,443340,10.404474,20283392,15806464,15806464,16404480,49320398,61575837,u64-uniform-t4
原子u64,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,1139525.050,828,885,930,4096,876,0,4096,777,0,4096,951,0,4096,938,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,23752704,24256512,24256512,24256512,25068486,23272831,u64-hot-t1
原子u64,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,1134717.665,835,896,944,4096,848,0,4096,1379,0,4096,940,0,4096,905,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,24625152,24625152,24625152,24625152,24780788,23580620,u64-hot-t1
原子u64,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,1148787.631,833,880,912,4096,863,0,4096,746,0,4096,929,0,4096,912,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,24625152,24625152,24625152,24625152,25416285,23668755,u64-hot-t1
原子u64,每线程热点,1,超内存,1,8241995736820088833,2048,16384,5082.357,858,790468,799341,4096,806473,4096,4096,753,0,4096,941,0,4096,909,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,23920640,23920640,23920640,23920640,21289773,23916539,u64-hot-t1
原子u64,每线程热点,1,超内存,2,8241995736820088833,2048,16384,5076.329,856,791156,799831,4096,810208,4096,4096,759,0,4096,1076,0,4096,905,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,24657920,24657920,24657920,24657920,20165844,24204691,u64-hot-t1
原子u64,每线程热点,1,超内存,3,8241995736820088833,2048,16384,5057.470,855,795876,805950,4096,814401,4096,4096,750,0,4096,929,0,4096,899,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,24625152,24625152,24625152,24625152,21079279,24195321,u64-hot-t1
原子u64,每线程热点,4,纯内存,1,8241995736820088833,2048,16384,874839.111,3278,12883,19190,4096,18590,0,4096,20670,0,4096,20396,0,4096,17121,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,24248320,24248320,24248320,24248320,25136550,23442006,u64-hot-t4
原子u64,每线程热点,4,纯内存,2,8241995736820088833,2048,16384,780087.839,3658,13632,20452,4096,21073,0,4096,20549,0,4096,21359,0,4096,18920,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,20185088,20185088,20185088,20512768,25156685,24057291,u64-hot-t4
原子u64,每线程热点,4,纯内存,3,8241995736820088833,2048,16384,743880.804,3779,14285,21922,4096,22676,0,4096,23797,0,4096,21329,0,4096,19781,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,20185088,20185088,20185088,20516864,25324908,23893463,u64-hot-t4
原子u64,每线程热点,4,超内存,1,8241995736820088833,2048,16384,15001.118,1106,1073979,1088856,4096,1132135,4096,4096,3043,0,4096,1787,0,4096,3312,0,0,12292,4092,0,65536,147812,148356,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,24399872,20185088,20185088,20512768,20177262,23487977,u64-hot-t4
原子u64,每线程热点,4,超内存,2,8241995736820088833,2048,16384,15017.539,1135,1070002,1087797,4096,1119100,4096,4096,3496,0,4096,3069,0,4096,3515,0,0,12292,4092,0,65536,147812,148356,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,24399872,20185088,20185088,20516864,118986862,24138873,u64-hot-t4
原子u64,每线程热点,4,超内存,3,8241995736820088833,2048,16384,15024.340,1156,1071707,1087412,4096,1110055,4096,4096,3820,0,4096,2761,0,4096,3899,0,0,12292,4092,0,65536,147812,148356,32768,81952,0,98520,67256320,131360,67420520,378472,378428,164200,4.618216,24399872,20185088,20185088,20520960,20334468,23805511,u64-hot-t4
变长字节,均匀,1,纯内存,1,8241995736820088833,2048,16384,672686.135,1100,2087,3101,4096,1630,0,4096,2500,0,4096,12061,0,4096,1783,0,0,13312,3072,0,67108864,715108,2398332,2408448,1683456,0,0,0,0,2413740,4884056,4884012,2413740,2.901208,34463744,37126144,37134336,37134336,327588962,241686884,bytes-uniform-t1
变长字节,均匀,1,纯内存,2,8241995736820088833,2048,16384,676709.900,1074,2075,3037,4096,1820,0,4096,2614,0,4096,12070,0,4096,1691,0,0,13312,3072,0,67108864,715108,2398332,2408448,1683456,0,0,0,0,2413740,4884056,4884012,2413740,2.901208,40701952,43368448,43368448,43368448,321671189,234953320,bytes-uniform-t1
变长字节,均匀,1,纯内存,3,8241995736820088833,2048,16384,674600.552,1117,2115,3103,4096,1674,0,4096,2951,0,4096,4299,0,4096,1752,0,0,13312,3072,0,67108864,715108,2398332,2408448,1683456,0,0,0,0,2413740,4884056,4884012,2413740,2.901208,51982336,51982336,51982336,51982336,266053452,232268781,bytes-uniform-t1
变长字节,均匀,1,超内存,1,8241995736820088833,2048,16384,2394.362,550512,822288,835815,4096,571662,3944,4096,355330,85,4096,862715,4096,4096,839534,3184,0,13312,3072,0,65536,715108,3640316,32768,1683456,0,656800,184314500,3628820,187976160,7383544,7383500,3661660,4.385944,51986432,51986432,51986432,51986432,308883088,362222537,bytes-uniform-t1
变长字节,均匀,1,超内存,2,8241995736820088833,2048,16384,2385.996,552920,824495,837352,4096,574778,3944,4096,369337,85,4096,863350,4096,4096,840221,3184,0,13312,3072,0,65536,715108,3640316,32768,1683456,0,656800,184314500,3628820,187976160,7383544,7383500,3661660,4.385944,51986432,51986432,51986432,51986432,305087515,367935235,bytes-uniform-t1
变长字节,均匀,1,超内存,3,8241995736820088833,2048,16384,2391.636,550845,825514,839915,4096,573015,3944,4096,363722,85,4096,862932,4096,4096,842555,3184,0,13312,3072,0,65536,715108,3640316,32768,1683456,0,656800,184314500,3628820,187976160,7383544,7383500,3661660,4.385944,53362688,54026240,54026240,54026240,306911723,372375770,bytes-uniform-t1
变长字节,均匀,4,纯内存,1,8241995736820088833,2048,16384,538886.921,4295,16824,41309,4096,23691,0,4096,38743,0,4096,56039,0,4096,24803,0,1560,13312,3072,0,67108864,712804,2380476,2392064,1683456,0,0,0,0,2397320,4851240,4851196,2397320,2.881715,54054912,54464512,54464512,54464512,275428236,232572590,bytes-uniform-t4
变长字节,均匀,4,纯内存,2,8241995736820088833,2048,16384,566603.372,4165,15638,40785,4096,18999,0,4096,39035,0,4096,53460,0,4096,23167,0,1344,13312,3072,0,67108864,712156,2379708,2392064,1683456,0,0,0,0,2397320,4851240,4851196,2397320,2.881715,54468608,54607872,54607872,54607872,264752433,236558399,bytes-uniform-t4
变长字节,均匀,4,纯内存,3,8241995736820088833,2048,16384,581781.490,4185,15315,32546,4096,19061,0,4096,31887,0,4096,46901,0,4096,21205,0,1268,13312,3072,0,67108864,712204,2380732,2392064,1683456,0,0,0,0,2397320,4851240,4851196,2397320,2.881715,54607872,54697984,54697984,54697984,262277143,237898564,bytes-uniform-t4
变长字节,均匀,4,超内存,1,8241995736820088833,2048,16384,6956.551,716810,1121767,1438943,4096,1411334,3984,4096,582913,51,4096,1438943,4096,4096,1841016,2983,93674,13312,3072,0,65536,708908,3628220,32768,1683456,0,656800,181736560,3612400,185381800,7350728,7350684,3645240,4.366451,54697984,54697984,54697984,54697984,307358790,363589526,bytes-uniform-t4
变长字节,均匀,4,超内存,2,8241995736820088833,2048,16384,6846.904,716434,1122703,1412418,4096,1314957,3980,4096,514946,122,4096,1329018,4096,4096,1785401,3166,85042,13312,3072,0,65536,709172,3624316,32768,1683456,0,656800,184839940,3612400,188485180,7350728,7350684,3645240,4.366451,54697984,54697984,54697984,54697984,301002385,355344954,bytes-uniform-t4
变长字节,均匀,4,超内存,3,8241995736820088833,2048,16384,6935.813,716797,1115466,1402438,4096,1280637,3980,4096,590258,48,4096,1382110,4096,4096,1611669,3100,84505,13312,3072,0,65536,709172,3625724,32768,1683456,0,656800,183559180,3612400,187204420,7350728,7350684,3645240,4.366451,54697984,54697984,54697984,54697984,308409228,363272838,bytes-uniform-t4
变长字节,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,476517.148,1061,5251,14990,4096,1059,0,4096,1063,0,4096,17486,0,4096,1355,0,0,12289,4095,0,67108864,715108,11231884,11239424,1675272,0,0,0,0,11264120,22610688,22610644,11264120,13.496727,69361664,86233088,86233088,67334144,1137271643,980561909,bytes-hot-t1
变长字节,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,461836.190,1037,5956,15283,4096,931,0,4096,1058,0,4096,19568,0,4096,1612,0,0,12289,4095,0,67108864,715108,11231884,11239424,1675272,0,0,0,0,11264120,22610688,22610644,11264120,13.496727,69496832,89051136,89051136,70131712,1136057312,981898093,bytes-hot-t1
变长字节,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,531242.052,1042,4023,5896,4096,912,0,4096,1052,0,4096,13474,0,4096,1310,0,0,12289,4095,0,67108864,715108,11231884,11239424,1675272,0,0,0,0,11264120,22610688,22610644,11264120,13.496727,70135808,89751552,89751552,70135808,1163722591,1013427002,bytes-hot-t1
变长字节,每线程热点,1,超内存,1,8241995736820088833,2048,16384,6634.253,1045,556480,572865,4096,595087,4096,4096,1127,0,4096,341669,640,4096,884,0,0,12289,4095,0,65536,715108,11231884,65536,1675272,0,656800,67256320,11198440,78520440,22610688,22610644,11264120,13.496727,69873664,69873664,69873664,69873664,896980983,981007996,bytes-hot-t1
变长字节,每线程热点,1,超内存,2,8241995736820088833,2048,16384,6673.966,1059,553008,560688,4096,569019,4096,4096,1132,0,4096,330754,640,4096,891,0,0,12289,4095,0,65536,715108,11231884,65536,1675272,0,656800,67256320,11198440,78520440,22610688,22610644,11264120,13.496727,70725632,70725632,70725632,70725632,875445349,980858169,bytes-hot-t1
变长字节,每线程热点,1,超内存,3,8241995736820088833,2048,16384,6632.011,1051,555130,562666,4096,568907,4096,4096,1146,0,4096,340354,640,4096,883,0,0,12289,4095,0,65536,715108,11231884,65536,1675272,0,656800,67256320,11198440,78520440,22610688,22610644,11264120,13.496727,70729728,70729728,70729728,70729728,927578940,996442483,bytes-hot-t1
变长字节,每线程热点,4,纯内存,1,8241995736820088833,2048,16384,564727.981,4112,17200,35405,4096,27039,0,4096,22362,0,4096,50734,0,4096,23325,0,0,12292,4092,0,67108864,713196,3616380,3620864,1675296,0,0,0,0,3628820,7317840,7317796,3628820,4.368088,70729728,70729728,70729728,70729728,373121848,331357806,bytes-hot-t4
变长字节,每线程热点,4,纯内存,2,8241995736820088833,2048,16384,591110.156,4015,15676,31332,4096,22158,0,4096,20057,0,4096,51532,0,4096,19262,0,0,12292,4092,0,67108864,713428,3622244,3637248,1675296,0,0,0,0,3645240,7350728,7350684,3645240,4.387719,70729728,70729728,70729728,70729728,373655315,333304192,bytes-hot-t4
变长字节,每线程热点,4,纯内存,3,8241995736820088833,2048,16384,602169.257,3886,15796,32818,4096,19326,0,4096,19612,0,4096,52023,0,4096,17258,0,0,12292,4092,0,67108864,713380,3624884,3637248,1675296,0,0,0,0,3645240,7350728,7350684,3645240,4.387719,70729728,70729728,70729728,70729728,530927456,338822707,bytes-hot-t4
变长字节,每线程热点,4,超内存,1,8241995736820088833,2048,16384,16436.567,3894,754618,773849,4096,972317,4096,4096,10936,7,4096,688168,446,4096,648830,498,0,12292,4092,0,65536,709172,3793980,32768,1675296,0,656800,75482740,3776600,79292180,7679608,7679564,3809440,4.584031,70729728,61087744,61087744,61087744,604544649,366691668,bytes-hot-t4
变长字节,每线程热点,4,超内存,2,8241995736820088833,2048,16384,15740.838,3982,747533,835578,4096,1270185,4096,4096,13089,5,4096,703604,567,4096,660793,776,0,12292,4092,0,65536,708244,3869324,32768,1675296,0,656800,79998240,3858700,83889780,7844048,7844004,3891540,4.682186,61087744,61087744,61087744,61087744,430541463,356394927,bytes-hot-t4
变长字节,每线程热点,4,超内存,3,8241995736820088833,2048,16384,19147.247,2063,749006,775448,4096,1095481,4096,4096,4886,9,4096,444908,296,4096,523863,130,0,12292,4092,0,65536,708908,3826748,32768,1675296,0,656800,69604380,3809440,73446660,7745384,7745340,3842280,4.623293,61087744,61087744,61087744,63172608,314271521,360078056,bytes-hot-t4
