布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1087553.933,625,1625,2458,4096,2166,0,4096,1750,0,4096,2042,0,4096,2833,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,12173312,12877824,13484032,15237120,77341625,45110834,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1568422.328,541,792,1042,4096,1083,0,4096,625,0,4096,792,0,4096,2666,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,17367040,17383424,17448960,18202624,60945958,50794458,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1617893.204,541,750,958,4096,1209,0,4096,667,0,4096,667,0,4096,875,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,18907136,18890752,18890752,19808256,48062791,38282416,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,767.387,874292,2550833,21483125,4096,1945584,3632,4096,2125,15,4096,4432875,4096,4096,21865917,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,22462464,23019520,23085056,23085056,203043416,324941042,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,839.645,863500,2867875,20978917,4096,21177917,3632,4096,19084,15,4096,17054875,4096,4096,20958500,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,23232512,23216128,23216128,23216128,156776125,282579333,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,1126.556,903333,1414333,11187375,4096,20927542,3632,4096,3875,15,4096,11157958,4096,4096,16933708,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,25755648,26312704,26345472,26345472,173129166,163688791,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,681211.995,1375,26709,61625,4096,58625,0,4096,51917,0,4096,70500,0,4096,63250,0,1276,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,26869760,26804224,26804224,26804224,58758833,45352958,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,415462.782,2541,36209,69042,4096,72125,0,4096,69625,0,4096,70709,0,4096,64292,0,806,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,31047680,30998528,31031296,31031296,62375000,46630584,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,557907.506,1125,29083,54333,4096,65875,0,4096,58041,0,4096,52417,0,4096,38083,0,1453,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,31113216,31047680,31047680,31047680,60583583,46343625,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,8200.998,625,1733334,2942500,4096,21240625,3654,4096,2167,0,4096,2708,3,4096,3333,4,15,13312,3072,0,65536,147812,401660,65536,90112,0,98520,59998680,344820,60409180,871792,871748,410500,9.674538,31178752,31260672,31260672,31260672,84269750,79995834,u64-uniform-t4
原子u64,均匀,4,超内存,2,8241995736820088833,2048,16384,4335.289,667,3967459,15341792,4096,21507834,3675,4096,2625,0,4096,2458,3,4096,2000,4,2,13312,3072,0,65536,147812,405820,65536,90112,0,98520,60343500,344820,60754000,871792,871748,410500,9.674538,32129024,32112640,32112640,32112640,97771000,92952542,u64-uniform-t4
原子u64,均匀,4,超内存,3,8241995736820088833,2048,16384,7769.911,625,1673042,5984125,4096,21204833,3637,4096,2167,0,4096,1875,2,4096,2750,4,7,13312,3072,0,65536,147812,385276,65536,90112,0,98520,59719540,328400,60113620,838904,838860,394080,9.309570,32178176,32112640,32112640,32112640,86973292,76295833,u64-uniform-t4
原子u64,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,1644120.058,458,1042,1375,4096,583,0,4096,1084,0,4096,1334,0,4096,1417,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,32178176,32325632,32325632,32325632,56971125,33999834,u64-hot-t1
原子u64,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,1852398.315,458,584,1583,4096,1625,0,4096,1459,0,4096,1791,0,4096,1167,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,32374784,32358400,32374784,32374784,47218292,33094042,u64-hot-t1
原子u64,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,1952451.886,458,541,708,4096,1208,0,4096,458,0,4096,708,0,4096,583,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,32391168,32374784,32374784,32374784,46417084,32886500,u64-hot-t1
原子u64,每线程热点,1,超内存,1,8241995736820088833,2048,16384,2592.240,459,1194583,4467541,4096,20946125,4096,4096,500,0,4096,667,0,4096,666,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32522240,32505856,32505856,32505856,36676250,32302167,u64-hot-t1
原子u64,每线程热点,1,超内存,2,8241995736820088833,2048,16384,3149.769,542,1027917,1621083,4096,17484459,4096,4096,1291,0,4096,1459,0,4096,709,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32522240,32505856,32505856,32505856,38571458,34844292,u64-hot-t1
