布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2285469,375,458,541,0
原子u64,256键均匀,1,2,200000,2386767,375,417,459,0
原子u64,256键均匀,1,3,200000,2391712,375,417,459,0
原子u64,256键均匀,4,1,200000,1209295,1334,10333,19625,26206
原子u64,256键均匀,4,2,200000,1236096,1375,10250,19417,22908
原子u64,256键均匀,4,3,200000,1100233,1375,12459,25375,23312
原子u64,单键热点,1,1,200000,2388007,375,417,500,0
原子u64,单键热点,1,2,200000,2327579,375,458,500,0
原子u64,单键热点,1,3,200000,2266598,375,458,541,0
原子u64,单键热点,4,1,200000,913374,958,17916,41458,295105
原子u64,单键热点,4,2,200000,932422,958,16750,36875,284175
原子u64,单键热点,4,3,200000,936153,875,16458,38667,268450
变长32至512字节,256键均匀,1,1,200000,1598413,500,542,625,0
变长32至512字节,256键均匀,1,2,200000,1680924,500,584,667,0
变长32至512字节,256键均匀,1,3,200000,1682686,500,584,708,0
变长32至512字节,256键均匀,4,1,200000,636753,2250,21792,38583,24504
变长32至512字节,256键均匀,4,2,200000,717353,1708,19250,33834,25821
变长32至512字节,256键均匀,4,3,200000,757953,1583,19292,39417,20476
变长32至512字节,单键热点,1,1,200000,1737733,500,583,625,0
变长32至512字节,单键热点,1,2,200000,1795550,500,542,584,0
变长32至512字节,单键热点,1,3,200000,1822559,500,542,583,0
变长32至512字节,单键热点,4,1,200000,802861,2417,16042,26292,451290
变长32至512字节,单键热点,4,2,200000,788230,2417,16250,27666,444611
变长32至512字节,单键热点,4,3,200000,749212,2292,18000,34167,429778
