布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2464290,334,416,500,0
原子u64,256键均匀,1,2,200000,2655258,333,375,417,0
原子u64,256键均匀,1,3,200000,2637399,333,375,417,0
原子u64,256键均匀,4,1,200000,1317810,1334,9375,15834,23922
原子u64,256键均匀,4,2,200000,1316818,1333,9209,16791,22329
原子u64,256键均匀,4,3,200000,1103547,1333,12125,26416,27652
原子u64,单键热点,1,1,200000,2692605,333,375,417,0
原子u64,单键热点,1,2,200000,2722902,333,375,417,0
原子u64,单键热点,1,3,200000,2688850,333,375,417,0
原子u64,单键热点,4,1,200000,1037463,1125,14084,25625,295696
原子u64,单键热点,4,2,200000,1038757,1916,13084,21875,377543
原子u64,单键热点,4,3,200000,1009485,1917,13500,23125,394722
变长32至512字节,256键均匀,1,1,200000,1889690,458,500,583,0
变长32至512字节,256键均匀,1,2,200000,1939203,458,500,542,0
变长32至512字节,256键均匀,1,3,200000,1942525,458,500,542,0
变长32至512字节,256键均匀,4,1,200000,1235078,1459,9084,16583,23681
变长32至512字节,256键均匀,4,2,200000,840197,1625,16917,31333,31144
变长32至512字节,256键均匀,4,3,200000,702867,1333,19833,43500,25470
变长32至512字节,单键热点,1,1,200000,1893631,458,541,583,0
变长32至512字节,单键热点,1,2,200000,1905731,458,541,584,0
变长32至512字节,单键热点,1,3,200000,1913912,458,541,583,0
变长32至512字节,单键热点,4,1,200000,659745,1625,24834,47667,342158
变长32至512字节,单键热点,4,2,200000,667874,1750,24750,46834,322974
变长32至512字节,单键热点,4,3,200000,651957,2083,23791,43625,427641
