布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1194265.107,731,1052,1182,4096,1042,0,4096,751,0,4096,882,0,4096,2645,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,9748480,10645504,10645504,10813440,37575290,30161324,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1209515.574,732,1062,1222,4096,1353,0,4096,781,0,4096,922,0,4096,1393,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,10575872,10592256,10592256,10850304,36663151,30145491,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1127776.670,741,1302,2314,4096,1282,0,4096,781,0,4096,1654,0,4096,2585,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,12165120,12169216,12169216,12169216,33056136,29630932,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,2112.085,727455,765065,773622,4096,757181,3632,4096,1893,15,4096,776738,4096,4096,781786,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,14139392,10600448,10600448,11452416,81025705,102785498,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,2094.010,731932,776908,785634,4096,757609,3632,4096,1834,15,4096,770984,4096,4096,918432,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,15433728,15433728,15433728,15433728,83224726,102157276,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,2107.568,726613,770956,780364,4096,760947,3632,4096,1773,15,4096,912218,4096,4096,788168,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,16801792,16801792,16801792,16801792,109615977,101738229,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,1216579.339,2415,5260,15038,4096,14307,0,4096,14006,0,4096,14006,0,4096,24826,0,671,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,19804160,20348928,20348928,20348928,33215607,30073623,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,1214096.382,2445,5791,14747,4096,14317,0,4096,13966,0,4096,14287,0,4096,18996,0,681,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,15441920,15515648,15515648,15888384,33425449,29462404,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,1259597.279,2264,5100,14126,4096,15478,0,4096,13856,0,4096,13796,0,4096,15358,0,651,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,15695872,15699968,15699968,16076800,33353074,29657538,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,15049.841,1012,1114648,1148650,4096,1189447,3635,4096,2154,1,4096,2144,2,4096,2064,3,7,13312,3072,0,65536,147812,398204,65536,90112,0,98520,59686700,344820,60097200,871792,871748,410500,9.674538,20082688,15876096,15876096,16429056,45209212,52259781,u64-uniform-t4
