布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,1,纯内存,1,8241995736820088833,2048,16384,1642108.373,500,750,1000,4096,1083,0,4096,667,0,4096,708,0,4096,1667,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,11124736,11599872,12124160,12779520,69453584,57031458,u64-uniform-t1
原子u64,均匀,1,纯内存,2,8241995736820088833,2048,16384,1064345.341,583,1750,2125,4096,1333,0,4096,833,0,4096,2333,0,4096,3042,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,17842176,17874944,17924096,18841600,78348959,48866084,u64-uniform-t1
原子u64,均匀,1,纯内存,3,8241995736820088833,2048,16384,1639151.223,500,750,1541,4096,1833,0,4096,750,0,4096,666,0,4096,792,0,0,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,509952,509908,229880,5.659091,19988480,20332544,20381696,20381696,141069792,46768792,u64-uniform-t1
原子u64,均匀,1,超内存,1,8241995736820088833,2048,16384,996.983,885917,1647083,20993083,4096,20953750,3632,4096,5000,15,4096,21564875,4096,4096,2043250,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,24576000,24559616,24674304,24690688,236459042,161553708,u64-uniform-t1
原子u64,均匀,1,超内存,2,8241995736820088833,2048,16384,1290.736,872750,1480042,3196542,4096,4234208,3632,4096,2792,15,4096,14081708,4096,4096,2877541,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,27541504,27557888,27557888,27557888,175547125,158732458,u64-uniform-t1
原子u64,均匀,1,超内存,3,8241995736820088833,2048,16384,1254.237,921042,1516917,3821583,4096,11159542,3632,4096,2208,15,4096,6479458,4096,4096,2050583,2749,0,13312,3072,0,65536,147812,798780,32768,90112,0,98520,172032340,771740,172836920,1661032,1660988,804580,18.432972,27574272,27557888,27557888,27557888,146750833,141018833,u64-uniform-t1
原子u64,均匀,4,纯内存,1,8241995736820088833,2048,16384,573029.084,1625,30208,53750,4096,59042,0,4096,62875,0,4096,48083,0,4096,37125,0,1162,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,27656192,27607040,27656192,27672576,82967166,50528125,u64-uniform-t4
原子u64,均匀,4,纯内存,2,8241995736820088833,2048,16384,617617.401,1375,29125,60708,4096,66291,0,4096,55916,0,4096,58292,0,4096,58041,0,1482,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,27738112,27672576,27672576,27672576,129170917,46522958,u64-uniform-t4
原子u64,均匀,4,纯内存,3,8241995736820088833,2048,16384,790280.667,1125,23667,56833,4096,54875,0,4096,39833,0,4096,58917,0,4096,71208,0,486,13312,3072,0,67108864,147812,213372,229376,90112,0,0,0,0,229880,510024,509980,229880,5.659890,28573696,28508160,28508160,28524544,65457166,38360959,u64-uniform-t4
原子u64,均匀,4,超内存,1,8241995736820088833,2048,16384,3951.853,836625,2020708,5400750,4096,18315000,3643,4096,409916,7,4096,21262958,3072,4096,3271208,1651,125378,13312,3072,0,65536,147812,685692,32768,90112,0,98520,137353300,656800,138042940,1430888,1430844,689640,15.878995,28622848,28737536,28737536,28737536,146997042,137456167,u64-uniform-t4
原子u64,均匀,4,超内存,2,8241995736820088833,2048,16384,10024.774,584,1752458,3084875,4096,6949333,3667,4096,2208,0,4096,1375,2,4096,2458,4,45,13312,3072,0,65536,147812,387772,65536,90112,0,98520,60212140,328400,60606220,838904,838860,394080,9.309570,28803072,28753920,28753920,28753920,123993500,70407666,u64-uniform-t4
