布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2690271,333,375,417,0
原子u64,256键均匀,1,2,200000,2718305,333,375,417,0
原子u64,256键均匀,1,3,200000,2724768,333,375,417,0
原子u64,256键均匀,4,1,200000,1404171,1291,8875,14375,26930
原子u64,256键均匀,4,2,200000,1347290,1250,9333,16625,26425
原子u64,256键均匀,4,3,200000,1388835,1291,9000,14542,27981
原子u64,单键热点,1,1,200000,2905393,292,334,375,0
原子u64,单键热点,1,2,200000,2813307,292,334,416,0
原子u64,单键热点,1,3,200000,2896188,292,334,375,0
原子u64,单键热点,4,1,200000,1155735,750,13334,27583,250327
原子u64,单键热点,4,2,200000,1193667,1000,12166,21167,279487
原子u64,单键热点,4,3,200000,1167467,1667,11834,20375,323263
变长32至512字节,256键均匀,1,1,200000,2009863,417,500,542,0
变长32至512字节,256键均匀,1,2,200000,1997602,417,500,542,0
变长32至512字节,256键均匀,1,3,200000,1984462,417,500,542,0
变长32至512字节,256键均匀,4,1,200000,1199977,1417,9625,17875,29914
变长32至512字节,256键均匀,4,2,200000,1130416,1417,10417,20875,27625
变长32至512字节,256键均匀,4,3,200000,1283964,1416,9084,15458,25212
变长32至512字节,单键热点,1,1,200000,1960659,417,459,500,0
变长32至512字节,单键热点,1,2,200000,1830454,417,459,500,0
变长32至512字节,单键热点,1,3,200000,1970438,417,459,500,0
变长32至512字节,单键热点,4,1,200000,865772,2209,14417,31667,534434
变长32至512字节,单键热点,4,2,200000,872117,2042,15208,31833,403306
变长32至512字节,单键热点,4,3,200000,865430,2000,14959,32958,392693
