布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2471581,334,375,459,0
原子u64,256键均匀,1,2,200000,2567168,333,375,458,0
原子u64,256键均匀,1,3,200000,2563382,333,375,459,0
原子u64,256键均匀,4,1,200000,1056411,1292,13208,25459,25204
原子u64,256键均匀,4,2,200000,1120827,1333,11583,22375,27857
原子u64,256键均匀,4,3,200000,1138802,1333,11417,21792,29978
原子u64,单键热点,1,1,200000,2834867,292,334,375,0
原子u64,单键热点,1,2,200000,2804534,333,334,375,0
原子u64,单键热点,1,3,200000,2750633,333,375,417,0
原子u64,单键热点,4,1,200000,1008915,1167,14709,28542,325144
原子u64,单键热点,4,2,200000,1048480,1792,13500,24292,341234
原子u64,单键热点,4,3,200000,1040347,1333,14083,24917,305729
变长32至512字节,256键均匀,1,1,200000,1939627,458,500,583,0
变长32至512字节,256键均匀,1,2,200000,1917923,458,500,542,0
变长32至512字节,256键均匀,1,3,200000,1396040,459,584,1291,0
变长32至512字节,256键均匀,4,1,200000,795850,1708,17750,32542,33992
变长32至512字节,256键均匀,4,2,200000,925598,1541,15000,29291,31271
变长32至512字节,256键均匀,4,3,200000,1161154,1459,10333,20542,26491
变长32至512字节,单键热点,1,1,200000,1900427,458,500,583,0
变长32至512字节,单键热点,1,2,200000,1820750,458,500,542,0
变长32至512字节,单键热点,1,3,200000,1907576,458,500,542,0
变长32至512字节,单键热点,4,1,200000,797063,2417,15958,30583,491795
变长32至512字节,单键热点,4,2,200000,785942,2416,16334,32125,497675
变长32至512字节,单键热点,4,3,200000,779928,2167,17250,34500,404939
